frame,ctrl_name,cam_idx,led_id,depth_m,facing_cos,brightness,area
84025303431514.png,right_controller,0,29,0.30609,0.61467,181.0,8.00
84025303431514.png,right_controller,0,30,0.28562,0.13966,55.0,3.00
84025303431514.png,right_controller,0,31,0.29547,0.41700,132.0,6.00
84025314532451.png,right_controller,0,20,0.30714,0.63348,99.0,5.50
84025314532451.png,right_controller,0,21,0.31521,0.71453,37.0,1.00
84025314532451.png,right_controller,0,22,0.29612,0.34858,80.0,3.00
84025314532451.png,right_controller,0,23,0.30705,0.61734,154.0,6.00
84025314532451.png,right_controller,0,24,0.31353,0.73905,93.0,3.00
84025314532451.png,right_controller,0,26,0.28997,0.21964,77.0,4.00
84025314532451.png,right_controller,0,27,0.30051,0.45413,85.0,3.50
84025314532451.png,right_controller,0,28,0.28971,0.26908,102.0,2.50
84025314532451.png,right_controller,0,29,0.30583,0.61458,169.0,8.00
84025314532451.png,right_controller,0,30,0.28538,0.14020,54.0,3.00
84025314532451.png,right_controller,0,31,0.29533,0.41938,139.0,6.00
84025336708109.png,right_controller,0,20,0.30717,0.63338,88.0,6.00
84025336708109.png,right_controller,0,21,0.31523,0.71431,38.0,1.00
84025336708109.png,right_controller,0,22,0.29615,0.34862,75.0,3.00
84025336708109.png,right_controller,0,23,0.30707,0.61699,149.0,5.00
84025336708109.png,right_controller,0,24,0.31355,0.73882,93.0,3.00
84025336708109.png,right_controller,0,26,0.29002,0.21988,76.0,4.00
84025336708109.png,right_controller,0,27,0.30054,0.45397,84.0,3.50
84025336708109.png,right_controller,0,28,0.28977,0.26942,96.0,2.50
84025336708109.png,right_controller,0,29,0.30585,0.61422,168.0,7.00
84025336708109.png,right_controller,0,30,0.28544,0.14066,51.0,3.00
84025336708109.png,right_controller,0,31,0.29538,0.41943,129.0,6.50
84025347815300.png,right_controller,0,20,0.30706,0.63442,97.0,7.00
84025347815300.png,right_controller,0,21,0.31501,0.71333,40.0,1.00
84025347815300.png,right_controller,0,22,0.29591,0.34737,77.0,3.00
84025347815300.png,right_controller,0,23,0.30686,0.61626,158.0,5.00
84025347815300.png,right_controller,0,24,0.31341,0.73924,95.0,3.00
84025347815300.png,right_controller,0,26,0.28981,0.21907,78.0,4.00
84025347815300.png,right_controller,0,27,0.30029,0.45261,86.0,3.50
84025347815300.png,right_controller,0,28,0.28967,0.27091,101.0,2.50
84025347815300.png,right_controller,0,29,0.30568,0.61410,175.0,6.00
84025347815300.png,right_controller,0,30,0.28529,0.14110,52.0,3.00
84025347815300.png,right_controller,0,31,0.29529,0.42096,136.0,6.00
84025370033747.png,right_controller,0,20,0.30691,0.63064,93.0,6.00
84025370033747.png,right_controller,0,21,0.31524,0.71610,39.0,1.00
84025370033747.png,right_controller,0,22,0.29625,0.35222,76.0,3.00
84025370033747.png,right_controller,0,23,0.30701,0.61768,157.0,5.50
84025370033747.png,right_controller,0,24,0.31334,0.73707,87.0,3.00
84025370033747.png,right_controller,0,26,0.29011,0.22322,78.0,4.00
84025370033747.png,right_controller,0,27,0.30061,0.45706,87.0,3.50
84025370033747.png,right_controller,0,28,0.28956,0.26738,97.0,2.50
84025370033747.png,right_controller,0,29,0.30569,0.61339,171.0,7.00
84025370033747.png,right_controller,0,30,0.28541,0.14169,53.0,3.00
84025370033747.png,right_controller,0,31,0.29509,0.41617,132.0,6.00
84025381097435.png,right_controller,0,20,0.30720,0.63216,92.0,5.50
84025381097435.png,right_controller,0,21,0.31543,0.71597,38.0,1.00
84025381097435.png,right_controller,0,22,0.29634,0.35027,76.0,3.00
84025381097435.png,right_controller,0,23,0.30726,0.61853,161.0,5.50
84025381097435.png,right_controller,0,24,0.31364,0.73862,91.0,3.00
84025381097435.png,right_controller,0,26,0.29016,0.22064,79.0,4.00
84025381097435.png,right_controller,0,27,0.30075,0.45606,85.0,3.50
84025381097435.png,right_controller,0,28,0.28974,0.26694,100.0,2.50
84025381097435.png,right_controller,0,29,0.30600,0.61497,180.0,7.00
84025381097435.png,right_controller,0,30,0.28548,0.13941,53.0,3.00
84025381097435.png,right_controller,0,31,0.29536,0.41736,139.0,6.00
84025403305341.png,right_controller,0,20,0.30738,0.63484,90.0,5.50
84025403305341.png,right_controller,0,21,0.31529,0.71347,37.0,1.00
84025403305341.png,right_controller,0,22,0.29615,0.34666,75.0,4.00
84025403305341.png,right_controller,0,23,0.30717,0.61680,151.0,5.00
84025403305341.png,right_controller,0,24,0.31373,0.73985,85.0,3.00
84025403305341.png,right_controller,0,26,0.29003,0.21793,76.0,4.00
84025403305341.png,right_controller,0,27,0.30055,0.45240,85.0,3.50
84025403305341.png,right_controller,0,28,0.28993,0.27024,102.0,2.50
84025403305341.png,right_controller,0,29,0.30600,0.61484,175.0,7.50
84025403305341.png,right_controller,0,30,0.28552,0.13980,54.0,2.00
84025403305341.png,right_controller,0,31,0.29559,0.42108,138.0,6.00
84025414401185.png,right_controller,0,20,0.30702,0.62994,91.0,5.50
84025414401185.png,right_controller,0,21,0.31544,0.71731,34.0,1.00
